name,phone,address,rating,reviews,service_type,website,google_url,source
A.M. Electrical Services,9924415593,"6, Khangah Rd, Rander, Surat, Gujarat 395005, India",5,702,Electrician,,https://maps.google.com/?cid=7954147478433239547,Google Places
V Electrical Services,9909491403,"2, Magan Nagar Rd, Gopinath Society, Mani Nagar, Subhash Nagar Society, Katargam, Surat, Gujarat 395004, India",4.9,131,Electrician,,https://maps.google.com/?cid=10733868250828137837,Google Places
Rabbani Electrition,9879738732,"Gr.floor Shop no.3, Swagat Apartment, Anavil Sheri, Sagrampura, Surat, Gujarat 395002, India",4.9,453,Electrician,,https://maps.google.com/?cid=2147936226166594740,Google Places
Ashish Electrical,8878010687,"Office No. - 202, 3rd floor, Exceluss Business Space, Bhimrad, Surat, Gujarat 395007, India",4.9,91,Electrician,http://www.ashishelectrical.com/,https://maps.google.com/?cid=11604854043735963031,Google Places
Buldel (Building Electrician),9428213314,"Wood Square, 241, Subhash Chandra Bose Marg, TGB, Adajan Gam, Adajan, Surat, Gujarat 395009, India",4.7,78,Electrician,https://buldel.com/,https://maps.google.com/?cid=16756626587065933100,Google Places
Shah Electrician Service,8866779425,"Garden Colony, Nanpura, Surat, Gujarat 395001, India",5,28,Electrician,,https://maps.google.com/?cid=5571810121137030961,Google Places
Nilesh Electrical Services,8469468841,"Kailash Nagar, Majura Gate, Surat, Gujarat 395002, India",4.9,62,Electrician,,https://maps.google.com/?cid=11567439425288550848,Google Places
Mayur Electrics & Electronics,9662000732,"160, Shreeji Nagar -2, near komal sadan, Mora Bhagal, Godadara, Surat, Gujarat 394210, India",4.9,70,Electrician,,https://maps.google.com/?cid=9660370332140952375,Google Places
MS ELECTRICALS,9099875669,"Shastri Nagar Rd, Shastri Nagar Society, Aman Nagar, Surat, Gujarat 395002, India",5,28,Electrician,,https://maps.google.com/?cid=4878626220516097603,Google Places
Ignite electric,8200754176,"G-6, Nova Complex, Bamroli Althan Expy, Bhedwad, Pandesara, Udhana, Surat, Gujarat 394221, India",5,22,Electrician,https://tinyurl.com/Ignite-electric-web,https://maps.google.com/?cid=8508906605982079704,Google Places
Mahalaxmi Electricals,9979263393,"Sai enclave, 32, Bhimrad-Althan Rd, Apcha Nagar, Althan, Surat, Gujarat 395007, India",4.7,30,Electrician,https://www.mahalaxmi-electricals.com/,https://maps.google.com/?cid=12725970500053774004,Google Places
Y.P.B Electricals,9157816530,"West Field Mall, Ghod Dod Rd, opp. Suryakiran Apartment, Miranagar Society, Athwa, Surat, Gujarat 395007, India",4.9,13,Electrician,http://ypbelectricals.online/,https://maps.google.com/?cid=11947905291600273313,Google Places
Raza Electrical Technician,7383985864,"D 1St Floor Block No.19, Patni Colony, Mughal Sarai, Sayedpura, Surat, Gujarat 395003, India",5,16,Electrician,https://sites.google.com/view/bestelectricalsolution/home,https://maps.google.com/?cid=11390378717436270211,Google Places
Powertech Electricals,9510317956,"619, GR FL, Luhar Faliyu, b/h old police station, Katargam, Surat, Gujarat 395004, India",4.9,40,Electrician,http://www.powertechelectricals.co.in/,https://maps.google.com/?cid=7719328652641205787,Google Places
Shravan Patil ( Malhar Electricals Services ),9898487797,"Haridham Society, Haridham Society, Pandesara, Udhana, Surat, Gujarat 394210, India",4.6,22,Electrician,,https://maps.google.com/?cid=8549993812730675292,Google Places
Harsh Electrical & Aqua R O System,9325518887,"शॉप न. 11 हरी दर्शन सोसायटी दिपदर्शन स्कूल के पास दिंडोली सुरत, दिंडोली सुरत, Pramukh Park, Udhana, दिंडोली सुरत, Surat, Gujarat 394210, India",5,34,Electrician,,https://maps.google.com/?cid=6602553490324901783,Google Places
Shreeji Electricals Limited,9825406272,"Plot No. A/4 & 5, Maruti Industrial Estate, Udhana - Sachin Hwy, near Daksheswar Temple, Bhedwad, Pandesara GIDC, Main Road, Surat, Gujarat 394210, India",4.2,27,Electrician,https://shreejielectricals.net/,https://maps.google.com/?cid=10739526668224333678,Google Places
Shailesh Bhai Electrician (Wire Man),9978899521,"Satyam Row House, behind Nutan Row House, near Tulsi Dairy, Pankaj Nagar, Surat, Gujarat 394510, India",5,13,Electrician,,https://maps.google.com/?cid=2172400169706765582,Google Places
Nareshbhai Electrician(Wireman),9825381612,"15, Rander Rd, behind prakash bakery, Rang Avadhut Society-1, Ramnagar, Rander, Surat, Gujarat 395005, India",4.9,18,Electrician,,https://maps.google.com/?cid=7578872935459395367,Google Places
Soni Electrical,9924326248,"L111, SHOPPERSTOP Complex, central, Rd No 8, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.9,23,Electrician,,https://maps.google.com/?cid=3877382165194089109,Google Places
"AB Tech Electricals - MCC, APFC, HTMC, PCC, Bus Duct, VFDs, Leading LT & HT Panel Manuacturer in Surat, Gujarat, India",9712123507,"AB Tech Electricals, Diamond Eco Park, Plot No.3076, Palsana-sachin, highway, Gabheni, Surat, Gujarat 394210, India",4.8,37,Electrician,https://abtechelectricals.com/,https://maps.google.com/?cid=16792213408311660539,Google Places
Honey Electric Corporation,9722747161,"next to jayesh medical, near udhna, Udhana Teen Rasta, Udhana Village, Udhana, Surat, Gujarat 394210, India",5,197,Electrician,,https://maps.google.com/?cid=9918851018802306849,Google Places
Shree Ramdev Electric Sales And Service (electricfault.in),9374550626,"Shop No. 2,5-6, Sarvoday Nagar,nr.Gandhi Kutir society, Udhna, Udhana - Magdalla Rd, Swami Gunatit Nagar Society 2, Bhatar, Athwa, Surat, Gujarat 395001, India",4.3,44,Electrician,,https://maps.google.com/?cid=6068630436102333967,Google Places
NB Lights Electrician Surat Parle Point - Nagji Prajapati,7621884626,"Central Business Hub, 254, Keshav Park Society, Umra Gam, Athwa, Surat, Gujarat 395007, India",5,3,Electrician,,https://maps.google.com/?cid=13915690689087398784,Google Places
Raj Electricals Sales & Services,8401220451,"Shop no. 2, Balkrishna Row house, gate no. 2, nr Swapna Srushti residency, Bhestan, Surat, Gujarat 395003, India",5,11,Electrician,,https://maps.google.com/?cid=8347903990021136404,Google Places
Raj Electricals,9825109694,"Raj Cluster, Plot No.: 2, Mali ni Wadi, Ashwini Kumar Rd, near sarin technology, Karanj (Navagam), Kodiyar Nagar, Surat, Gujarat 395006, India",4.4,20,Electrician,http://www.rajgrouponline.com/,https://maps.google.com/?cid=16569008119945576615,Google Places
Shivaji Electric & Motor Rewinding Works,7741048682,"BRC Neher, Shop No. 2, Plot No. 1, Thakur Nagar, opp. Marathi SMC School, Surat Municipal School, Harinagar-2, Harinagar, Udhana, Surat, Gujarat 394210, India",5,612,Electrician,,https://maps.google.com/?cid=7324429096494340602,Google Places
S P Engineering,9374723733,"Plot no - 52, New Estate, Rd Number 6, Udhana GIDC, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.9,94,Electrician,https://www.spengineering.co.in/,https://maps.google.com/?cid=17877186167754812917,Google Places
Sai Darshan Electricals,9824159299,"New, RBL-16, nr. Rupa Dyeing, GIDC Colony, Pandesara GIDC, Udhana, Surat, Gujarat 394221, India",4.8,20,Electrician,http://saidarshanelectricals.com/,https://maps.google.com/?cid=17683171212625858073,Google Places
Sadguru Electricals ( Government Approved Licenced Electrical Contractor ),9727776622,"Manthan Appartment, A / 201, Gujarat Gas Cir, Opposite Krishna Complex, Near Gujarat Gas Circle, Muktanand Nagar, Adajan, Surat, Gujarat 395009, India",5,1,Electrician,https://electrical-contractor-1bj6s.evlop.me/,https://maps.google.com/?cid=3183397370691871515,Google Places
Jay Ambe Electric,8780919508,"Infront of Shivam Xerox and Stationary, Jay jalaram nagar, Plot no.93, Jalaram Society, Kashi Nagar, Udhana, Surat, Gujarat 394210, India",5,5,Electrician,,https://maps.google.com/?cid=6327939636648172689,Google Places
Enertech Systems,2613197005,"Udhna Shangh Market, C 201, Road No. 10, Udhana GIDC, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210, India",4.9,51,Electrician,http://www.enertechsystems.co.in/,https://maps.google.com/?cid=17598384948398493971,Google Places
Sach Electro Mech Pvt. Ltd.,2612461305,"C-2, Maheshwari Appt Nanpura, Timaliyawad, Timiliyawad Rd, Nanpura, Surat, Gujarat 395001, India",4.3,31,Electrician,http://www.sachgroup.com/,https://maps.google.com/?cid=2179679290162728051,Google Places
RAXA ELECTRICAL,7069452494,"V square, 118, Rander Rd, Palanpur Jakatnaka, Surat, Gujarat 395009, India",5,7,Electrician,http://www.raxaelectrical.com/,https://maps.google.com/?cid=3792991899117915032,Google Places
Bhumika Electricals,9825338424,"LG-7, Sarela Shopping Centre, Ghod Dod Rd, Athwa, Surat, Gujarat 395001, India",5,3,Electrician,,https://maps.google.com/?cid=13533503943494922713,Google Places
Saroj Electricals Sale And Service,8238812135,"Shop 02, P-19 /21, Govalak Road, Shanta Nagar, Gopal Nagar Society, Pandesara, Udhana, Surat, Gujarat 394221, India",4.6,10,Electrician,,https://maps.google.com/?cid=4412212693894675159,Google Places
AS Electricals Services & Contractor,9825096040,"Plot No. 28, Rander Rd, Avakar Society, Ramnagar, Surat, Gujarat 395009, India",5,2,Electrical Contractor,https://a-s-enterprise.com/,https://maps.google.com/?cid=15722999708484119367,Google Places
Nutanvij Electricals Pvt. Ltd.,8048017718,"Shed No. 67-A, Navjivan Industrial Co. Service Soc, BRTS, Vesu Canal Rd, beside SMC Water Plant, Laxmi Nagar, Khatodra Wadi, Surat, Gujarat 395002, India",4.4,21,Electrical Contractor,https://www.nutanvijelectricals.com/,https://maps.google.com/?cid=13605460690165939650,Google Places
